Spatial_frequency,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20
5.00E+00,6.46E-17,,,,,,,,,,,,,,,,,,,
5.01E+00,9.21E-17,,,,,,,,,,,,,,,,,,,
5.03E+00,3.32E-17,,,,,,,,,,,,,,,,,,,
5.04E+00,1.83E-16,,,,,,,,,,,,,,,,,,,
5.06E+00,4.32E-17,,,,,,,,,,,,,,,,,,,
5.07E+00,6.17E-17,,,,,,,,,,,,,,,,,,,
5.09E+00,1.07E-16,,,,,,,,,,,,,,,,,,,
5.10E+00,3.98E-17,,,,,,,,,,,,,,,,,,,
5.11E+00,7.25E-17,,,,,,,,,,,,,,,,,,,
5.13E+00,2.68E-17,,,,,,,,,,,,,,,,,,,
5.14E+00,9.27E-17,,,,,,,,,,,,,,,,,,,
5.16E+00,9.18E-17,,,,,,,,,,,,,,,,,,,
5.17E+00,7.40E-17,,,,,,,,,,,,,,,,,,,
5.19E+00,4.45E-17,,,,,,,,,,,,,,,,,,,
5.20E+00,4.47E-17,,,,,,,,,,,,,,,,,,,
5.21E+00,1.47E-16,,,,,,,,,,,,,,,,,,,
5.23E+00,6.51E-17,,,,,,,,,,,,,,,,,,,
5.24E+00,3.87E-17,,,,,,,,,,,,,,,,,,,
5.26E+00,5.70E-17,,,,,,,,,,,,,,,,,,,
5.27E+00,8.89E-17,,,,,,,,,,,,,,,,,,,
5.29E+00,6.08E-17,,,,,,,,,,,,,,,,,,,
5.30E+00,2.25E-17,,,,,,,,,,,,,,,,,,,
5.31E+00,6.59E-17,,,,,,,,,,,,,,,,,,,
5.33E+00,3.40E-17,,,,,,,,,,,,,,,,,,,
5.34E+00,6.73E-17,,,,,,,,,,,,,,,,,,,
5.36E+00,2.50E-17,,,,,,,,,,,,,,,,,,,
5.37E+00,1.43E-16,,,,,,,,,,,,,,,,,,,
5.39E+00,1.02E-16,,,,,,,,,,,,,,,,,,,
5.40E+00,8.42E-17,,,,,,,,,,,,,,,,,,,
5.41E+00,1.08E-16,,,,,,,,,,,,,,,,,,,
5.43E+00,3.66E-17,,,,,,,,,,,,,,,,,,,
5.44E+00,3.15E-17,,,,,,,,,,,,,,,,,,,
5.46E+00,3.76E-17,,,,,,,,,,,,,,,,,,,
5.47E+00,3.70E-17,,,,,,,,,,,,,,,,,,,
5.49E+00,5.22E-17,,,,,,,,,,,,,,,,,,,
5.50E+00,3.42E-17,,,,,,,,,,,,,,,,,,,
5.51E+00,7.45E-17,,,,,,,,,,,,,,,,,,,
5.53E+00,4.80E-17,,,,,,,,,,,,,,,,,,,
5.54E+00,2.81E-17,,,,,,,,,,,,,,,,,,,
5.56E+00,3.95E-17,,,,,,,,,,,,,,,,,,,
5.57E+00,3.58E-17,,,,,,,,,,,,,,,,,,,
